lat,lon,polygon,GEOID
32.839339,-97.160994,62849,48439113607
30.639201,-96.30671,62917,48041002002
27.73082,-97.416019,66593,48355001903
32.646784,-96.863492,66516,48113016605
33.775328,-96.58308,62699,48181000400
31.783928,-106.417267,65089,48141003402
31.724024,-106.302211,61667,48141010338
32.721585,-97.478539,62038,48439105203
32.928183,-97.09448,66397,48439113705
26.186259,-97.734663,65607,48061012001
29.913418,-95.611942,65379,48201552002
29.676558,-95.422537,63181,48201334100
29.625565,-95.22531,62793,48201321100
29.785494,-95.60022,65804,48201543200
29.990205,-95.423096,65558,48201240702
29.990275,-95.275606,66054,48201241500
32.849437,-96.914294,65349,48113014204
29.775354,-95.817237,63179,48157673101
31.078549,-97.692745,64067,48027022300
27.492086,-97.84753,65206,48273020500
27.528418,-99.458211,64470,48479001105
29.484543,-95.10255,64296,48167720700
33.022937,-96.988337,65337,48121021739
32.553772,-94.727241,66215,48183000200
33.535048,-101.958266,64133,48303001707
33.161606,-96.644662,64773,48085030601
32.829838,-96.629967,66282,48113018130
32.024113,-102.151567,61587,48329010104
29.953433,-94.0071,62843,48245980000
32.97135,-96.719803,62020,48113019211
29.534537,-95.772812,62501,48157675500
30.54205,-97.69265,63234,48491020603
31.44646,-100.496244,66382,48451001101
29.543147,-98.57544,62111,48029181302
29.517253,-98.467365,64987,48029120701
29.457047,-98.625324,63025,48029181602
29.556508,-98.34469,63484,48029121606
30.4963137,-97.6809454,65620,48491020504
30.314894,-94.18396,65709,48199030700
29.645808,-95.57612,62896,48157671900
31.079653,-97.410328,63429,48027021203
32.3116541301218,-95.3424998566223,65108,48423001602
28.851423,-96.997881,64859,48469001503
31.495348,-97.160226,66603,48309003706
32.7561,-97.705239,65015,48367140705
33.88049,-98.545953,63582,48485012600
38.809675,-77.122192,67911,51510200405
38.899751,-77.460168,67940,51059490103
38.086121,-78.474663,68675,51003010800
38.85358,-77.324803,67583,51600300100
37.042363,-76.388316,68342,51650010313
38.760854,-77.459274,69170,51683910301
37.561646,-77.465974,67857,51760040200
37.345779,-79.962578,68669,51161030205
39.010459,-77.438399,68897,51107611006
38.927033,-77.240836,69096,51059460400
39.156514,-78.147297,68940,51069050900
47.338754,-122.221114,70580,53033030503
48.755607,-122.454132,70055,53073000700
47.562162,-122.684286,70695,53035080900
47.458466,-122.333257,69912,53033028500
47.778229,-122.344838,70380,53061050900
47.031067,-122.930247,69476,53067010520
46.236607,-119.128998,70273,53021020400
48.102863,-123.342273,69939,53009001400
47.207367,-122.294997,70517,53053940010
47.448354,-122.2188,69679,53033026200
47.739021,-117.409937,69590,53063011102
47.657264,-117.312518,70077,53063012200
47.21978,-122.48576,69809,53053062600
45.648094,-122.597954,69732,53011041108
46.047464,-118.353406,70228,53071920600
35.030251,-85.308376,59972,47065002000
36.513006,-87.268667,61315,47125101803
36.137109,-85.496453,60800,47141000600
36.023934,-87.340223,60694,47043060402
36.063277,-89.379485,60564,47045964300
35.957857,-86.80853,61155,47187050208
36.361376,-86.494932,61003,47165020501
36.374198,-82.372119,60154,47179061300
36.551978,-82.487762,60307,47163040900
35.920587,-84.067881,60547,47093005704
35.999617,-83.969451,61039,47093003902
36.29062,-86.7051,61211,47037010401
35.454702,-86.041805,60869,47031970600
36.369277,-88.849653,60124,47183968203
35.0353,-89.795859,60272,47157021745
35.181031,-89.895533,60285,47157020610
36.18226,-83.382387,60463,47063101200
35.854156,-86.394979,59966,47149041600
36.110606,-86.743585,60704,47037017500
36.191053,-86.793132,61209,47037013700
45.491783,-122.81107,54369,41067031402
44.055213,-121.277279,54383,41017001800
44.572608,-123.258425,54755,41003010600
44.059020850378,-123.081397463229,54778,41039003102
45.378967,-122.603899,55031,41005021700
45.227394,-123.180863,54450,41071030801
42.379969,-122.858192,55069,41029001200
45.531759,-122.537403,54468,41051009302
44.921582,-123.006236,54605,41047001000
45.613979,-121.20996,55055,41065970400
45.326814,-122.770853,54595,41005022707
34.055164,-81.128164,59535,45063020511
33.997902,-81.222504,58659,45063021032
35.830725,-83.974822,60863,47009010302
35.205818,-89.791337,60140,47157020832
36.54282,-82.2354,60732,47163042600
35.056433,-85.190515,59988,47065011443
33.394903,-86.807186,755,01073014409
30.660697,-87.858464,346,01003010703
34.563857,-86.972193,680,01103000300
32.376832,-86.208559,45,01101005403
33.459826,-112.284168,2560,04013082027
33.286316,-111.791107,2427,04013812100
34.54217,-114.35287,2672,04015952500
33.385361,-111.695062,2818,04013422639
33.434313,-111.872266,2474,04013421201
33.636921,-112.253682,1490,04013071514
33.509862,-112.054162,1439,04013107602
33.605183,-112.420442,2763,04013061031
33.639038,-112.108088,1455,04013103608
33.635224,-111.915739,1758,04013216816
33.346812,-111.967793,1846,04013319910
32.289823,-110.985646,2753,04019004508
32.207374,-110.881798,2631,04019003502
38.007799,-121.832042,9050,06013305000
35.310723,-119.035324,9548,06029003112
33.865497,-117.995215,4838,06059110603
33.824968,-118.245675,10657,06037543903
33.78414,-116.471,9047,06065045000
33.861544,-118.100471,3769,06037554521
39.756332,-121.843715,7998,06007000102
33.997621,-117.928216,8127,06037408211
36.836818,-119.717629,3899,06019005606
37.671267,-122.463541,8728,06081601601
37.980192,-122.050128,8761,06013327000
33.88309,-117.615292,11481,06065041500
33.675397,-117.918684,9842,06059063902
38.55252,-121.691555,9272,06113010401
33.9473,-118.151166,8164,06037550800
34.136553,-117.975944,3950,06037430101
32.795896,-116.976156,5339,06073016202
34.069536,-118.026911,11463,06037433304
38.402217,-121.385527,8521,06067009638
33.116492,-117.106837,10997,06073020307
40.800562,-124.164405,10300,06023000100
38.634132,-121.204871,9781,06067008703
34.135345,-117.445732,8207,06071002301
37.489389,-121.9576,6883,06001441503
36.818622,-119.789796,10537,06019004505
33.766376,-117.968337,4111,06059088901
33.889201,-118.307028,5409,06037603006
36.996869,-121.558573,4453,06085512603
34.137054,-118.25536,10219,06037302401
34.43427,-119.820934,6321,06083003001
37.662305,-122.075178,7055,06001436500
33.741163,-117.031718,7388,06065043504
33.71069,-117.989861,5177,06059099402
33.632505,-117.723298,4991,06059052410
33.70711,-116.283712,8721,06065045121
34.035168,-118.273229,7729,06037224020
34.133446,-118.356601,10982,06037143700
37.305891,-120.502428,7109,06047001301
34.269809,-118.466606,11281,06037109100
37.705119,-120.99471,3953,06099000506
34.082404,-117.694876,8084,06071000203
34.065387,-117.212007,7487,06071007800
38.292706,-122.277767,8837,06055200301
32.659001,-117.100836,8453,06073021900
33.181953,-117.298334,8158,06073019803
33.80857,-117.864434,8965,06059076204
34.22771,-119.150217,4865,06111005002
34.591173,-118.138184,5132,06037910201
38.267202,-122.665068,7216,06097151000
32.956772,-117.025943,8022,06073017009
40.571632,-122.36654,11118,06089010300
37.495963,-122.227322,,
37.985253,-122.32124,7916,06013365003
33.941878,-117.297603,8783,06065050900
33.925469,-117.419673,4190,06065031704
38.752198,-121.256452,7185,06061020717
38.631393,-121.396604,11298,06067006101
36.720023,-121.662519,6768,06053010504
34.074378,-117.298,9446,06071012400
32.833179,-117.147384,11248,06073008511
32.802475,-117.215269,8113,06073007800
37.359362,-122.022783,7175,06085508503
37.275144,-121.877656,4069,06085503003
33.47443,-117.676142,11321,06059042201
37.712609,-122.162746,5101,06001432501
35.25062,-120.68455,7785,06079011300
37.323569,-121.988027,5018,06085506103
38.425537,-122.714089,8509,06097151402
36.611189,-121.849899,9058,06053014000
34.168824,-118.449059,4808,06037128802
34.277324,-118.778957,9969,06111007700
38.022022,-121.275339,9278,06077003500
33.516768,-117.155039,7715,06065043216
37.7599055538751,-121.463205186508,10674,06077005206
33.72484,-117.799302,4569,06059052524
38.381441,-121.941218,5355,06095252911
34.420546,-118.557774,6752,06037920115
38.118088,-122.255493,8707,06095251701
34.517883,-117.3219,7106,06071009904
36.32327,-119.27569,11466,06107001703
34.074227,-117.890899,3696,06037406200
27.462023,-82.578036,14314,12081000310
28.848733,-82.57947,15711,12017450601
28.983689,-81.300079,16690,12127090803
26.435016,-80.072333,18210,12099006906
26.109825,-80.137099,15024,12011042302
30.288306,-81.730832,17479,12031012200
30.212415,-81.736209,15362,12031013522
30.18082,-82.702224,16675,12023110601
25.783121,-80.366772,15322,12086009010
25.9262,-80.292105,14226,12086010005
25.76506,-80.250516,17309,12086005502
25.609391,-80.348241,16867,12086008208
26.007358,-80.263072,14658,12011110312
27.485756,-81.481603,16620,12055960602
27.152729,-80.217708,17593,12085001200
27.995139,-82.506186,15307,12057002600
28.049764,-82.458596,15195,12057000401
27.585356,-80.376442,16838,12061050605
26.713894,-80.05421,14716,12099002700
27.982961,-81.676059,17064,12105014003
34.075281,-83.98366,18579,13135050606
33.907866,-84.283186,18370,13089021301
33.967935,-84.146036,19147,13135050209
33.841932,-83.905677,20028,13297110504
33.784015,-84.612737,18321,13097080103
33.92909,-84.50889,19792,13067030800
33.566938,-84.344405,18989,13063040417
34.022437,-84.327529,18735,13121011405
33.565412,-84.521117,19627,13121010510
32.555572,-83.66552,20062,13153021113
21.335175,-157.88225,20494,15003006000
20.8891,-156.458605,20351,15009031900
21.399116,-157.799326,20544,15003010602
21.42849,-157.998343,20446,15003008920
39.291785,-76.610539,30670,24510040100
39.505659,-76.382317,30251,24025303400
39.256947,-76.730918,30564,24005400400
39.391175,-77.407835,30052,24021751003
39.177414,-77.249773,30999,24031700818
38.82681,-76.923233,30297,24033801905
39.113757,-77.161016,30545,24031701211
39.077447,-76.947933,29952,24031701417
44.946327,-93.095535,35752,27123034201
44.947042,-93.088226,35752,27123034201
44.977961,-93.282508,35839,27053126200
44.973838,-93.156808,36495,27123030202
44.967593,-93.127742,35852,27123031200
44.948972,-93.0962,35416,27123034202
